,id,number_of_reviews,last_review,reviews_per_month,id,name,latitude,longitude,price,min nights,availability,hostid,roomtypeid
0,241510,236,2019-07-31,2.53,241510,Home,1.32461,103.91190999999999,230,2,22,1017645,1
1,982909,222,2019-08-23,2.85,982909,Cozy Room @Central Area,1.33334,103.8327,69,2,0,4723385,1
2,2129215,323,2019-08-22,4.72,2129215,Luxuriously Spacious Studio Apt.,1.32122,103.91492,139,2,239,7642747,2
3,2357514,307,2019-08-11,5.44,2357514,Heritage Shophouse Right in Epicentre of Sights,1.2844799999999998,103.8436,69,1,315,1346787,1
4,2868366,217,2019-08-03,3.41,2868366,Studio Apt @ Orchard/Central,1.2964799999999999,103.83877,106,1,335,10248444,2
5,3753251,220,2019-07-28,3.66,3753251,Relaxed & Spacious Studio w JACUZZI,1.2953299999999999,103.83797,150,2,260,10248444,2
6,4108082,289,2019-08-15,4.9,4108082,Central Haven,1.29312,103.82979,218,2,231,21313007,2
7,5377342,246,2019-08-08,4.49,5377342,S5 @ City Central,1.30386,103.85459,106,2,63,25116861,2
8,5493930,238,2019-08-22,4.39,5493930,Luxurious En Suite 1 Near Orchard,1.3195,103.84791,99,1,329,28489587,1
9,5827713,285,2019-07-12,5.4,5827713,The Private Sanctuary,1.34495,103.96043,69,90,365,30080617,1
10,5827998,296,2019-06-28,5.56,5827998,The Lily Room,1.34463,103.96106999999999,60,2,0,30080617,1
11,5919270,245,2019-07-03,4.64,5919270,The Antiquity Room,1.34471,103.96249,81,90,263,30080617,1
12,6147142,263,2019-07-07,5.02,6147142,The Music Room,1.3446799999999999,103.96101999999999,56,2,0,30080617,1
13,7039222,248,2019-08-11,4.99,7039222,2BR Apt near Orchard Rd/Bugis (1min to Rochor MRT),1.3026,103.85195,250,1,229,3800044,2
14,7054222,226,2019-08-13,4.49,7054222,Black & White Studio 5,1.30105,103.84786,100,2,228,11648081,1
15,7605283,291,2019-08-22,6.05,7605283,"Clean cosy room, 7 mins to Sentosa",1.27718,103.82167,72,3,186,34333799,1
16,7655771,207,2019-08-12,4.19,7655771,★Enchanting City Fringe Queen Bedroom★,1.30805,103.89591999999999,56,1,53,20874965,1
17,7814843,202,2019-06-30,4.13,7814843,Private Room In East,1.31182,103.90644,56,1,0,40912923,1
18,7827659,262,2019-06-30,5.33,7827659,Master Room with Bathroom Inside,1.31403,103.90645,65,1,0,40912923,1
19,7843168,285,2019-06-30,5.86,7843168,1 Super Single Bed In Private Room,1.3142200000000002,103.90481,40,1,0,40912923,1
20,8180346,203,2019-06-29,4.26,8180346,The Zen Room,1.3443200000000002,103.96211,50,2,0,30080617,1
21,9506967,202,2019-08-25,4.67,9506967,Nice Apartment/Orchard MRT/Large Group/Cheap,1.30418,103.83449,281,1,235,5475678,2
22,9802857,229,2019-08-24,5.14,9802857,"Stunning view, clean & spacious 2BR in central CBD",1.27655,103.84517,449,1,304,18430316,2
23,10814989,225,2019-08-24,5.21,10814989,景区和市中心私人公寓!center of city!,1.29383,103.83964,137,1,308,52494253,2
24,10848771,296,2019-08-08,6.96,10848771,Spacious room near Woodleigh MRT,1.33431,103.87554,49,1,288,44793532,1
25,11750250,209,2019-08-08,4.99,11750250,SG新加坡Entire 2BedRM+2BathRM Close to City&MBS,1.31216,103.87991,169,1,152,52897090,2
26,12299983,272,2019-08-24,6.95,12299983,Prime Central Apartment For Five,1.30009,103.84501999999999,446,1,304,14326542,2
27,12484261,214,2019-08-18,6.87,12484261,"City room 5mins to Haji, near Suntec/MBS/Merlion",1.30466,103.86193,110,1,108,3234859,1
28,12536372,234,2019-08-10,5.78,12536372,"Bright & Airy, Heritage Shophouse!",1.31186,103.85458,136,1,38,17032962,2
29,12703293,227,2019-08-10,5.61,12703293,"Bright & Airy, Safari-Colonial Loft!",1.31225,103.85431,151,1,103,17032962,2
30,12839857,201,2019-08-05,4.99,12839857,"Stylish and Spacious, Elegant Kinfolk Loft!",1.31266,103.85471,139,1,47,17032962,2
31,13462899,259,2019-08-26,6.85,13462899,Premium Central Apartment For Five,1.29925,103.84557,450,1,294,14326542,2
32,21509015,276,2019-08-13,12.6,21509015,Close to Changi Airport/Biz Park/Expo(S),1.36287,103.97341999999999,85,1,287,156290352,1
